,age_entree,duree,sexe,cjm,mna,mesure1,mesure2,mesure3,age_sortie
0,18,1,F,False,True,AEMO,AEA,AEMO,19
1,1,9,F,False,False,AEMO,Placement judiciaire,Accueil administratif,10
2,10,2,M,True,True,AEMO,AEMO,AEMO,12
3,2,7,M,False,True,AEA,AEA,Accueil administratif,9
4,4,5,M,True,False,AEA,AEMO,AEA,9
5,11,10,F,True,True,AEMO,Placement judiciaire,Placement judiciaire,21
6,9,10,M,False,True,AEMO,AEA,Accueil administratif,19
7,16,2,F,True,False,AEA,AEMO,AEMO,18
8,12,3,M,True,True,Accueil administratif,AEMO,AEA,15
9,15,7,F,False,True,Placement judiciaire,AEMO,AEA,22
10,14,8,M,True,False,Placement judiciaire,Placement judiciaire,AEMO,22
11,14,8,F,False,True,AEMO,AEMO,Accueil administratif,22
12,5,6,M,True,True,Placement judiciaire,Accueil administratif,Placement judiciaire,11
13,8,4,M,True,False,AEMO,Accueil administratif,AEMO,12
14,8,9,F,False,False,AEA,AEA,Accueil administratif,17
15,8,8,F,False,False,Accueil administratif,AEMO,AEA,16
16,5,0,F,False,True,Accueil administratif,AEA,AEMO,5
17,8,3,F,True,False,Accueil administratif,AEMO,AEA,11
18,9,4,M,False,False,Placement judiciaire,Accueil administratif,Placement judiciaire,13
19,7,4,F,False,False,AEA,AEA,AEA,11
20,17,6,F,True,True,Placement judiciaire,AEA,Accueil administratif,23
21,7,6,F,False,False,Accueil administratif,AEMO,Accueil administratif,13
22,3,7,M,True,False,Accueil administratif,AEMO,Placement judiciaire,10
23,0,4,F,False,True,Placement judiciaire,Placement judiciaire,AEMO,4
24,5,0,M,False,True,AEMO,AEA,Accueil administratif,5
25,4,9,F,True,False,Accueil administratif,Placement judiciaire,AEA,13
26,11,7,M,False,False,AEMO,AEMO,AEA,18
27,10,6,M,False,False,AEMO,Placement judiciaire,AEMO,16
28,3,5,M,True,False,Accueil administratif,AEMO,Accueil administratif,8
29,11,3,M,True,False,AEA,Accueil administratif,Placement judiciaire,14
30,12,0,F,True,True,AEMO,Placement judiciaire,AEA,12
31,4,6,F,True,False,AEMO,AEMO,AEMO,10
32,15,9,F,False,False,AEMO,AEMO,AEA,24
